-81.1408, -38.1909, -7.0988 | 0.05925, -0.00086975, 0.028778 | 12.9602, 10.5327, 13.0568
-81.1408, -38.1909, -7.0988 | 0.05925, -0.00086975, 0.028778 | 12.9602, 10.5327, 13.0568
-81.1408, -38.1909, -7.0988 | 0.05925, -0.00086975, 0.028778 | 12.947, 10.5311, 13.0454
-81.1408, -38.1909, -7.0988 | 0.017715, 0.0032806, 0.016312 | 12.947, 10.5311, 13.0454
-81.1408, -38.1909, -7.0988 | 0.017715, 0.0032806, 0.016312 | 12.947, 10.5311, 13.0454
-81.1106, -37.9332, -6.9479 | 0.017715, 0.0032806, 0.016312 | 12.947, 10.5311, 13.0454
-81.1106, -37.9332, -6.9479 | 0.017715, 0.0032806, 0.016312 | 12.9338, 10.5295, 13.034
-81.1106, -37.9332, -6.9479 | -0.026245, 0.0059662, -0.019852 | 12.9338, 10.5295, 13.034
-81.1106, -37.9332, -6.9479 | -0.026245, 0.0059662, -0.019852 | 12.9338, 10.5295, 13.034
-80.8104, -37.8189, -6.7015 | -0.026245, 0.0059662, -0.019852 | 12.9338, 10.5295, 13.034
-80.8104, -37.8189, -6.7015 | -0.026245, 0.0059662, -0.019852 | 12.9207, 10.5279, 13.0228
-80.8104, -37.8189, -6.7015 | -0.00012207, 0.0091553, -0.023499 | 12.9207, 10.5279, 13.0228
-80.8104, -37.8189, -6.7015 | -0.00012207, 0.0091553, -0.023499 | 12.9207, 10.5279, 13.0228
-80.4714, -38.1965, -6.5621 | -0.00012207, 0.0091553, -0.023499 | 12.9207, 10.5279, 13.0228
-80.4714, -38.1965, -6.5621 | -0.00012207, 0.0091553, -0.023499 | 12.9076, 10.5261, 13.0115
-80.4714, -38.1965, -6.5621 | -0.023804, 0.0062103, -0.012268 | 12.9076, 10.5261, 13.0115
-80.4714, -38.1965, -6.5621 | -0.023804, 0.0062103, -0.012268 | 12.9076, 10.5261, 13.0115
-80.4714, -38.1965, -6.5621 | -0.023804, 0.0062103, -0.012268 | 12.9076, 10.5261, 13.0115
-80.2805, -38.152, -6.5844 | -0.023804, 0.0062103, -0.012268 | 12.8946, 10.5246, 13.0002
-80.2805, -38.152, -6.5844 | -0.17775, 0.16087, -0.32159 | 12.8946, 10.5246, 13.0002
-80.2805, -38.152, -6.5844 | -0.17775, 0.16087, -0.32159 | 12.8946, 10.5246, 13.0002
-80.2805, -38.152, -6.5844 | -0.17775, 0.16087, -0.32159 | 12.8946, 10.5246, 13.0002
-64.5382, -28.7224, 9.6972 | -0.17775, 0.16087, -0.32159 | 12.8818, 10.5204, 12.9891
-64.5382, -28.7224, 9.6972 | -1.0532, -0.8187, -3.4558 | 12.8818, 10.5204, 12.9891
-43.9681, -10.1142, 8.5647 | -1.0532, -0.8187, -3.4558 | 12.8818, 10.5204, 12.9891
-43.9681, -10.1142, 8.5647 | -1.0532, -0.8187, -3.4558 | 12.8708, 10.5126, 12.9807
-43.9681, -10.1142, 8.5647 | -1.0532, -0.8187, -3.4558 | 12.8708, 10.5126, 12.9807
-43.9681, -10.1142, 8.5647 | 0.40941, -1.1657, 1.8335 | 12.8708, 10.5126, 12.9807
-57.2301, -19.4335, -16.5827 | 0.40941, -1.1657, 1.8335 | 12.8708, 10.5126, 12.9807
-57.2301, -19.4335, -16.5827 | 0.40941, -1.1657, 1.8335 | 12.8587, 10.5073, 12.9742
-57.2301, -19.4335, -16.5827 | 4.8145, -5.8835, -0.66344 | 12.8587, 10.5073, 12.9742
-57.2301, -19.4335, -16.5827 | 4.8145, -5.8835, -0.66344 | 12.8587, 10.5073, 12.9742
-145.7881, -37.6958, -177.2841 | 4.8145, -5.8835, -0.66344 | 12.8587, 10.5073, 12.9742
-145.7881, -37.6958, -177.2841 | 4.8145, -5.8835, -0.66344 | 12.8542, 10.4996, 12.9645
-145.7881, -37.6958, -177.2841 | 6.3316, 3.4688, 1.2029 | 12.8542, 10.4996, 12.9645
-145.7881, -37.6958, -177.2841 | 6.3316, 3.4688, 1.2029 | 12.8542, 10.4996, 12.9645
-145.7881, -37.6958, -177.2841 | 6.3316, 3.4688, 1.2029 | 12.8542, 10.4996, 12.9645
-172.6325, -27.094, -71.5758 | 6.3316, 3.4688, 1.2029 | 12.883, 10.4892, 12.9705
-172.6325, -27.094, -71.5758 | -4.6915, 5.9758, -9.3396 | 12.883, 10.4892, 12.9705
-172.6325, -27.094, -71.5758 | -4.6915, 5.9758, -9.3396 | 12.883, 10.4892, 12.9705
-54.8141, -34.3698, -8.281 | -4.6915, 5.9758, -9.3396 | 12.883, 10.4892, 12.9705
-54.8141, -34.3698, -8.281 | -4.6915, 5.9758, -9.3396 | 12.8737, 10.482, 12.9764
-54.8141, -34.3698, -8.281 | -4.6915, 5.9758, -9.3396 | 12.8737, 10.482, 12.9764
-54.8141, -34.3698, -8.281 | 8.3306, -7.8402, -8.9059 | 12.8737, 10.482, 12.9764
169.3335, -44.5906, 131.5759 | 8.3306, -7.8402, -8.9059 | 12.8737, 10.482, 12.9764
169.3335, -44.5906, 131.5759 | 8.3306, -7.8402, -8.9059 | 12.8651, 10.472, 12.9668
169.3335, -44.5906, 131.5759 | 8.3306, -7.8402, -8.9059 | 12.8651, 10.472, 12.9668
169.3335, -44.5906, 131.5759 | -1.6055, 19.8673, 7.2186 | 12.8651, 10.472, 12.9668
-163.6254, -13.1892, -40.9294 | -1.6055, 19.8673, 7.2186 | 12.8651, 10.472, 12.9668
-163.6254, -13.1892, -40.9294 | -1.6055, 19.8673, 7.2186 | 12.8651, 10.472, 12.9668
-163.6254, -13.1892, -40.9294 | -1.6055, 19.8673, 7.2186 | 12.8734, 10.4738, 12.9624
-163.6254, -13.1892, -40.9294 | -0.59264, 0.15355, -7.2383 | 12.8734, 10.4738, 12.9624
-51.107, -51.3385, 10.7449 | -0.59264, 0.15355, -7.2383 | 12.8734, 10.4738, 12.9624
-51.107, -51.3385, 10.7449 | -0.59264, 0.15355, -7.2383 | 12.8734, 10.4738, 12.9624
-51.107, -51.3385, 10.7449 | -0.59264, 0.15355, -7.2383 | 12.8657, 10.4683, 12.9521
-51.107, -51.3385, 10.7449 | 1.0408, -3.3362, -4.969 | 12.8657, 10.4683, 12.9521
-51.107, -51.3385, 10.7449 | 1.0408, -3.3362, -4.969 | 12.8657, 10.4683, 12.9521
72.9165, -23.5027, 62.0757 | 1.0408, -3.3362, -4.969 | 12.8657, 10.4683, 12.9521
72.9165, -23.5027, 62.0757 | 1.0408, -3.3362, -4.969 | 12.8791, 10.4678, 12.9616
72.9165, -23.5027, 62.0757 | 4.0201, -0.86659, -2.8726 | 12.8791, 10.4678, 12.9616
72.9165, -23.5027, 62.0757 | 4.0201, -0.86659, -2.8726 | 12.8791, 10.4678, 12.9616
134.9675, -62.9748, 148.0478 | 4.0201, -0.86659, -2.8726 | 12.8791, 10.4678, 12.9616
134.9675, -62.9748, 148.0478 | 4.0201, -0.86659, -2.8726 | 12.8791, 10.4678, 12.9616
134.9675, -62.9748, 148.0478 | 4.0201, -0.86659, -2.8726 | 12.8953, 10.4592, 12.9551
134.9675, -62.9748, 148.0478 | -1.8659, 4.4162, 0.48375 | 12.8953, 10.4592, 12.9551
98.3802, -15.3539, 70.0109 | -1.8659, 4.4162, 0.48375 | 12.8953, 10.4592, 12.9551
98.3802, -15.3539, 70.0109 | -1.8659, 4.4162, 0.48375 | 12.8998, 10.4599, 12.9545
98.3802, -15.3539, 70.0109 | -1.8659, 4.4162, 0.48375 | 12.8998, 10.4599, 12.9545
98.3802, -15.3539, 70.0109 | -0.8949, -5.6433, -2.4462 | 12.8998, 10.4599, 12.9545
48.5563, -22.4229, 47.9715 | -0.8949, -5.6433, -2.4462 | 12.8998, 10.4599, 12.9545
48.5563, -22.4229, 47.9715 | -0.8949, -5.6433, -2.4462 | 12.8953, 10.4676, 12.9463
48.5563, -22.4229, 47.9715 | -0.8949, -5.6433, -2.4462 | 12.8953, 10.4676, 12.9463
48.5563, -22.4229, 47.9715 | -3.6406, 4.1449, 7.6404 | 12.8953, 10.4676, 12.9463
43.6725, -27.1994, 61.1495 | -3.6406, 4.1449, 7.6404 | 12.8953, 10.4676, 12.9463
43.6725, -27.1994, 61.1495 | -3.6406, 4.1449, 7.6404 | 12.8953, 10.4676, 12.9463
43.6725, -27.1994, 61.1495 | -3.6406, 4.1449, 7.6404 | 12.9327, 10.4583, 12.9442
43.6725, -27.1994, 61.1495 | -5.2095, 2.738, 7.9206 | 12.9327, 10.4583, 12.9442
43.6725, -27.1994, 61.1495 | -5.2095, 2.738, 7.9206 | 12.9327, 10.4583, 12.9442
-111.1838, -35.9485, -16.5555 | -5.2095, 2.738, 7.9206 | 12.9327, 10.4583, 12.9442
-111.1838, -35.9485, -16.5555 | -5.2095, 2.738, 7.9206 | 12.9307, 10.4729, 12.9361
-111.1838, -35.9485, -16.5555 | 0.5873, -5.0439, 3.5535 | 12.9307, 10.4729, 12.9361
-111.1838, -35.9485, -16.5555 | 0.5873, -5.0439, 3.5535 | 12.9307, 10.4729, 12.9361
-103.9741, -48.7893, -42.706 | 0.5873, -5.0439, 3.5535 | 12.9307, 10.4729, 12.9361
-103.9741, -48.7893, -42.706 | 0.5873, -5.0439, 3.5535 | 12.9736, 10.4758, 12.9242
-103.9741, -48.7893, -42.706 | 0.5873, -5.0439, 3.5535 | 12.9736, 10.4758, 12.9242
-103.9741, -48.7893, -42.706 | 2.3786, -9.2073, -15.8031 | 12.9736, 10.4758, 12.9242
110.285, -11.373, 28.7418 | 2.3786, -9.2073, -15.8031 | 12.9736, 10.4758, 12.9242
110.285, -11.373, 28.7418 | 2.3786, -9.2073, -15.8031 | 12.9736, 10.4758, 12.9242
110.285, -11.373, 28.7418 | 2.3786, -9.2073, -15.8031 | 12.9611, 10.4669, 12.9196
110.285, -11.373, 28.7418 | -1.3342, -0.085419, -3.2984 | 12.9611, 10.4669, 12.9196
110.285, -11.373, 28.7418 | -3.3535, 6.4919, 7.2538 | 12.9611, 10.4669, 12.9196
110.285, -11.373, 28.7418 | -3.3535, 6.4919, 7.2538 | 12.9611, 10.4669, 12.9196
97.7625, -5.6717, 63.0546 | -3.3535, 6.4919, 7.2538 | 12.9611, 10.4669, 12.9196
97.7625, -5.6717, 63.0546 | -3.3535, 6.4919, 7.2538 | 12.9655, 10.48, 12.9177
97.7625, -5.6717, 63.0546 | -3.3535, 6.4919, 7.2538 | 12.9655, 10.48, 12.9177
97.7625, -5.6717, 63.0546 | -1.377, -2.362, 7.9458 | 12.9655, 10.48, 12.9177
97.7625, -5.6717, 63.0546 | -1.377, -2.362, 7.9458 | 12.9655, 10.48, 12.9177
97.7625, -5.6717, 63.0546 | -1.377, -2.362, 7.9458 | 12.9655, 10.48, 12.9177
